collection;issn_scielo;journal;title;doc_type;pid;doi;doi_prefix;version;pub_year;has_doi;no_doi;doi_found;doi_not_found
scl;0044-5967;Acta Amazonica;O uso do solo na Amazônia;editorial;S0044-59671973000100003;10.1590/1809-43921973031003;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;An evolutionary and ecological perspective of Amazonian Hylaea species of Hymeneae (Leguminosae: Caesalpinioideae);undefined;S0044-59671973000100005;10.1590/1809-43921973031005;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Anatomia de Anacardium spruceanum Bth, Ex Engl. (Anacardiaceae da Amazônia).;undefined;S0044-59671973000100039;10.1590/1809-43921973031039;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;The effect of slash and burn agriculture on plant nutrients in the Tertiary Region of Central Amazonia ();undefined;S0044-59671973000100055;10.1590/1809-43921973031055;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;The chemical composition of Amazonian plants ();undefined;S0044-59671973000100063;10.1590/1809-43921973031063;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Dermatófitos no Estado do Amazonas - Brasil;undefined;S0044-59671973000100065;10.1590/1809-43921973031065;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Situação dos plantios experimentais na Reserva Florestal Ducke. I - Doze essências florestais nativas da Amazônia em plantios de enriquecimento ();undefined;S0044-59671973000100071;10.1590/1809-43921973031071;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Botânica para a Amazônia;editorial;S0044-59671973000200003;10.1590/1809-43921973032003;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Micrandropsis, novo gênero de Euphorbiaceae da Amazônia;undefined;S0044-59671973000200005;10.1590/1809-43921973032005;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Contribuição ao conhecimento de Couma macrocarpa Barb. Rodr. e C. utilis (Mart.) M. Arg. (Apocynaceae) da Amazônia;undefined;S0044-59671973000200007;10.1590/1809-43921973032007;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Contribuição para o estudo dendrológico de cinco leguminosas da Amazônia;undefined;S0044-59671973000200017;10.1590/1809-43921973032017;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Natural Waters in Amazonia. VI-Soluble Calcium Properties ();undefined;S0044-59671973000200033;10.1590/1809-43921973032033;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;The chemical composition of Amazonian plants ();undefined;S0044-59671973000200041;10.1590/1809-43921973032041;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Triatomíneos da Amazônia III. ();undefined;S0044-59671973000200043;10.1590/1809-43921973032043;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Mammals (exclusive of bats) of Belém, Pará, Brazil;undefined;S0044-59671973000200047;10.1590/1809-43921973032047;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Tecnologia de Celulose e Papel no INPA;editorial;S0044-59671973000300003;10.1590/1809-43921973033003;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Phytogeographic support tor the theory of Pleistocene forest refuges in the Amazon Basin, based on evidence from distribution patterns in Caryocaraceae, Chrysobalanaceae, Dichapetalaceae and Lecythidaceae;undefined;S0044-59671973000300005;10.1590/1809-43921973033005;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Energy flow analysis and the study of Manihot esculenta Crantz;undefined;S0044-59671973000300029;10.1590/1809-43921973033029;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;Óleos essenciais da Amazônia. VI;undefined;S0044-59671973000300041;10.1590/1809-43921973033041;10.1590;xml;1973;1;0;0;1
scl;0044-5967;Acta Amazonica;The chemical composition of Amazonas plants ();undefined;S0044-59671973000300043;10.1590/1809-43921973033043;10.1590;xml;1973;1;0;0;1
