,collection,issn_scielo,journal,title,doc_type,pid,doi,doi_prefix,version,pub_year,has_doi,no_doi,doi_found,doi_not_found,request
0,scl,0044-5967,Acta Amazonica,O uso do solo na Amazônia,editorial,S0044-59671973000100003,10.1590/1809-43921973031003,10.159,xml,1973,1,0,0,1,404 Client Error: Not Found for url: https://www.doi.org/doi/10.1590/1809-43921973031003
1,scl,0044-5967,Acta Amazonica,An evolutionary and ecological perspective of Amazonian Hylaea species of Hymeneae (Leguminosae: Caesalpinioideae),undefined,S0044-59671973000100005,10.1590/1809-43921973031005,10.159,xml,1973,1,0,0,1,404 Client Error: Not Found for url: https://www.doi.org/doi/10.1590/1809-43921973031005
2,scl,0044-5967,Acta Amazonica,"Anatomia de Anacardium spruceanum Bth, Ex Engl. (Anacardiaceae da Amazônia).",undefined,S0044-59671973000100039,10.1590/1809-43921973031039,10.159,xml,1973,1,0,0,1,404 Client Error: Not Found for url: https://www.doi.org/doi/10.1590/1809-43921973031039
3,scl,0044-5967,Acta Amazonica,The effect of slash and burn agriculture on plant nutrients in the Tertiary Region of Central Amazonia (),undefined,S0044-59671973000100055,10.1590/1809-43921973031055,10.159,xml,1973,1,0,0,1,404 Client Error: Not Found for url: https://www.doi.org/doi/10.1590/1809-43921973031055
4,scl,0044-5967,Acta Amazonica,The chemical composition of Amazonian plants (),undefined,S0044-59671973000100063,10.1590/1809-43921973031063,10.159,xml,1973,1,0,0,1,404 Client Error: Not Found for url: https://www.doi.org/doi/10.1590/1809-43921973031063
5,scl,0044-5967,Acta Amazonica,Dermatófitos no Estado do Amazonas - Brasil,undefined,S0044-59671973000100065,10.1590/1809-43921973031065,10.159,xml,1973,1,0,0,1,404 Client Error: Not Found for url: https://www.doi.org/doi/10.1590/1809-43921973031065
6,scl,0044-5967,Acta Amazonica,Situação dos plantios experimentais na Reserva Florestal Ducke. I - Doze essências florestais nativas da Amazônia em plantios de enriquecimento (),undefined,S0044-59671973000100071,10.1590/1809-43921973031071,10.159,xml,1973,1,0,0,1,404 Client Error: Not Found for url: https://www.doi.org/doi/10.1590/1809-43921973031071
7,scl,0044-5967,Acta Amazonica,Botânica para a Amazônia,editorial,S0044-59671973000200003,10.1590/1809-43921973032003,10.159,xml,1973,1,0,0,1,404 Client Error: Not Found for url: https://www.doi.org/doi/10.1590/1809-43921973032003
8,scl,0044-5967,Acta Amazonica,"Micrandropsis, novo gênero de Euphorbiaceae da Amazônia",undefined,S0044-59671973000200005,10.1590/1809-43921973032005,10.159,xml,1973,1,0,0,1,404 Client Error: Not Found for url: https://www.doi.org/doi/10.1590/1809-43921973032005
9,scl,0044-5967,Acta Amazonica,Contribuição ao conhecimento de Couma macrocarpa Barb. Rodr. e C. utilis (Mart.) M. Arg. (Apocynaceae) da Amazônia,undefined,S0044-59671973000200007,10.1590/1809-43921973032007,10.159,xml,1973,1,0,0,1,404 Client Error: Not Found for url: https://www.doi.org/doi/10.1590/1809-43921973032007
